"Years","OFL","ABC","ACL","Landings","Total Dead"
2007,"fill_in","fill_in","fill_in","244.38","244.38"
2008,"fill_in","fill_in","fill_in","272.16","272.16"
2009,"fill_in","fill_in","fill_in","186.21","186.21"
2010,"fill_in","fill_in","fill_in","178.84","178.84"
2011,"fill_in","fill_in","fill_in","212.63","212.63"
2012,"fill_in","fill_in","fill_in","271.27","271.27"
2013,"fill_in","fill_in","fill_in","472.75","472.75"
2014,"fill_in","fill_in","fill_in","725.77","725.77"
2015,"fill_in","fill_in","fill_in","884.79","884.79"
2016,"fill_in","fill_in","fill_in","1,045.38","1,045.38"
2017,"fill_in","fill_in","fill_in","6,395.41","6,395.41"
2018,"fill_in","fill_in","fill_in","10,588.14","10,588.14"
2019,"fill_in","fill_in","fill_in","NA","NA"
