"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,24730.8,21193.8,18160.2,15560.2,13332,11422.5,9786.26,8384.22,7182.92,6153.62,5271.72,4516.12,3868.76,3314.13,2838.98,2431.91,2083.19,1785.38,1529.23,1309.83,1121.91,960.945,823.077,704.989,603.843,517.209,443.005,379.446,325.007,278.377,238.438,204.229,174.928,149.831,128.335,109.922,94.1516,80.6436,69.0735,59.1635,353.208
1917,24717.3,21182.7,18153.1,15554.7,13327.6,11418.3,9781.58,8379.21,7178.11,6149.34,5268.05,4513.03,3866.17,3311.96,2837.16,2430.39,2081.91,1783.37,1528.42,1309.14,1121.32,960.439,822.644,704.618,603.526,516.937,442.772,379.247,324.836,278.231,238.313,204.122,174.836,149.752,128.267,109.864,94.1021,80.6011,69.0372,59.1323,353.022
1918,24701.8,21171.1,18143.6,15548.6,13322.8,11414.1,9776.83,8373.54,7172.03,6143.54,5262.89,4508.59,3862.39,3308.78,2834.47,2428.12,2080,1781.76,1526.26,1308.07,1120.4,959.653,821.97,704.041,603.032,516.514,442.409,378.936,324.57,278.003,238.118,203.955,174.693,149.63,128.162,109.775,94.025,80.5351,68.9807,59.0839,352.733
1919,24684.5,21157.8,18133.6,15540.5,13317.6,11409.8,9772.69,8368.77,7166.42,6137.62,5257.29,4503.62,3858.12,3305.14,2831.4,2425.52,2077.8,1779.9,1524.69,1306.06,1119.34,958.749,821.196,703.378,602.464,516.027,441.992,378.579,324.264,277.741,237.893,203.763,174.528,149.489,128.041,109.671,93.9365,80.4593,68.9157,59.0283,352.401
1920,24666.3,21143,18122.3,15532,13310.7,11405.8,9770.18,8366.89,7164.12,6134.5,5253.72,4500.12,3854.98,3302.44,2829.11,2423.6,2076.18,1778.54,1523.54,1305.09,1117.95,958.125,820.662,702.92,602.071,515.691,441.705,378.333,324.053,277.561,237.739,203.63,174.415,149.391,127.958,109.6,93.8753,80.4069,68.8708,58.9898,352.172
1921,24646.3,21127.4,18109.6,15522.2,13303.4,11399.8,9766.69,8364.65,7162.41,6132.44,5250.97,4497,3851.93,3299.71,2826.75,2421.6,2074.5,1777.12,1522.35,1304.09,1117.1,956.914,820.115,702.452,601.67,515.348,441.41,378.08,323.837,277.375,237.58,203.494,174.299,149.292,127.873,109.527,93.8127,80.3533,68.8249,58.9505,351.937
1922,24624.4,21110.2,18096.2,15511.4,13295.1,11393.8,9762.06,8362.31,7161.19,6131.63,5249.78,4495.14,3849.69,3297.47,2824.73,2419.86,2073.02,1775.88,1521.31,1303.22,1116.37,956.3,819.171,702.063,601.337,515.063,441.166,377.871,323.658,277.222,237.449,203.382,174.202,149.209,127.802,109.466,93.7608,80.3088,68.7868,58.9179,351.742
1923,24600.3,21091.5,18081.5,15500,13285.8,11386.8,9757.17,8358.76,7159.62,6131,5249.46,4494.45,3848.38,3295.79,2823.02,2418.3,2071.68,1774.75,1520.37,1302.42,1115.71,955.744,818.705,701.307,601.049,514.815,440.954,377.69,323.502,277.089,237.335,203.284,174.118,149.137,127.741,109.413,93.7158,80.2703,68.7538,58.8896,351.573
1924,24573.6,21070.9,18065.5,15487.3,13276,11378.8,9750.99,8354.3,7156.29,6129.39,5248.68,4493.97,3847.61,3294.51,2821.45,2416.72,2070.25,1773.52,1519.32,1301.55,1114.97,955.131,818.19,700.874,600.372,514.544,440.721,377.49,323.331,276.943,237.209,203.177,174.027,149.059,127.673,109.356,93.6663,80.2279,68.7175,58.8585,351.388
1925,24544.3,21048,18047.8,15473.6,13265.3,11370.7,9744.88,8350.07,7153.63,6127.62,5248.26,4494.14,3847.92,3294.47,2820.89,2415.83,2069.29,1772.63,1518.56,1300.9,1114.44,954.684,817.82,700.566,600.116,514.062,440.572,377.363,323.222,276.849,237.129,203.108,173.968,149.008,127.63,109.319,93.6346,80.2007,68.6942,58.8386,351.268
1926,24511.6,21022.9,18028.2,15458.5,13253.5,11361.3,9737.61,8344.37,7149.5,6124.87,5246.34,4493.42,3847.75,3294.47,2820.63,2415.16,2068.36,1771.67,1517.67,1300.14,1113.79,954.147,817.372,700.192,599.803,513.801,440.124,377.204,323.086,276.733,237.029,203.023,173.895,148.946,127.576,109.273,93.5953,80.1671,68.6654,58.8139,351.121
