ParName   Value   Gradient
recdev_early(1947)    -0.116233 -6.06993e-05
recdev_early(1948)    -0.125231  5.66393e-05
recdev_early(1949)    -0.133747 -1.45362e-06
recdev_early(1950)    -0.141098 -0.000205248
recdev_early(1951)    -0.146273 -5.94502e-05
recdev_early(1952)    -0.148135 -5.57589e-05
recdev_early(1953)    -0.145208 -1.47612e-05
recdev_early(1954)    -0.136061 -9.40722e-05
recdev_early(1955)    -0.119457 -9.64416e-05
recdev_early(1956)   -0.0953229 -9.70934e-05
recdev_early(1957)    -0.066393 -2.22291e-05
recdev_early(1958)    -0.040157 -3.96685e-05
recdev_early(1959)   -0.0275665  -5.6855e-05
recdev_early(1960)   -0.0351064 -1.83638e-05
recdev_early(1961)   -0.0533126 -3.12728e-05
recdev_early(1962)   -0.0599696 -1.97938e-06
recdev_early(1963)   -0.0373063  7.12737e-05
recdev_early(1964)   0.00682551 -6.22162e-05
recdev_early(1965)    0.0551228 -5.18076e-05
recdev_early(1966)     0.107102  -5.0845e-05
recdev_early(1967)     0.114513 -0.000103407
recdev_early(1968)    0.0655006 -2.08626e-05
recdev_early(1969)   -0.0567542  5.60583e-05
recdev1(1970)       1.2726 -9.21178e-05
recdev1(1971)       1.0924  5.38942e-05
recdev1(1972)     -0.86378 -1.63615e-06
recdev1(1973)     -1.05722  -0.00010245
recdev1(1974)    -0.772134   0.00010101
recdev1(1975)   -0.0746676  9.96378e-05
recdev1(1976)     -1.14289   5.4345e-05
recdev1(1977)     0.537832  0.000216656
recdev1(1978)     0.940999  9.75586e-05
recdev1(1979)    -0.183584 -4.80093e-05
recdev1(1980)     0.362602 -9.58982e-06
recdev1(1981)     0.884293 -0.000149239
recdev1(1982)     0.283626 -3.84604e-05
recdev1(1983)    -0.120707 -1.08738e-05
recdev1(1984)      0.55362 -0.000111614
recdev1(1985)      0.24428  5.42319e-05
recdev1(1986)    -0.479606 -4.85872e-06
recdev1(1987)     0.445653  8.45646e-07
recdev1(1988)   -0.0284226  3.46157e-05
recdev1(1989)    -0.312731 -5.29048e-05
recdev1(1990)     0.159863 -8.19669e-05
recdev1(1991)     0.736198 -0.000265523
recdev1(1992)    -0.226793 -0.000111781
recdev1(1993)    0.0319542 -7.50261e-05
recdev1(1994)   -0.0407396 -4.03842e-05
recdev1(1995)    -0.507792 -1.12941e-05
recdev1(1996)    -0.810919 -4.66549e-05
recdev1(1997)     -0.38844   8.3201e-05
recdev1(1998)     0.149182 -8.09548e-05
recdev1(1999)     0.415079 -8.18583e-05
recdev1(2000)     0.234272 -0.000125313
recdev1(2001)    -0.343683  -0.00010784
recdev1(2002)     -0.46358 -2.64643e-05
recdev1(2003)    -0.383076 -0.000101208
recdev1(2004)     0.675152 -3.96463e-05
recdev1(2005)    -0.923962 -1.75161e-06
recdev1(2006)     0.414738  3.95858e-05
recdev1(2007)    -0.986551 -3.58672e-05
recdev1(2008)      1.36348  3.55236e-05
recdev1(2009)     -0.61951 -0.000103332
recdev1(2010)     0.931229  0.000265011
recdev1(2011)     -1.78344   6.5317e-05
recdev1(2012)       -1.895  6.30886e-05
recdev1(2013)       1.7758  0.000474147
recdev1(2014)     0.904383  0.000176242
Fcast_recruitments(2015)    -0.244099 -1.46545e-05
Fcast_recruitments(2016)     0.311527 -3.20557e-05
Fcast_recruitments(2017)    -0.184028  0.000254612
Fcast_recruitments(2018)    -0.269652 -0.000187618
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Q_parm[2]     0.157603  4.29838e-05
Q_parm[3]     -11.1569   0.00140165
Q_parm[4]     0.366788 -8.24101e-05
Q_parm[6]      0.83169  -1.6425e-06
Q_parm[7]     -2.17803  0.000118944
Q_parm[12]     0.579699 -9.43647e-05
Q_parm[13]     0.442829 -1.68926e-06
Q_parm[14]     0.132873  1.85328e-05
selparm[1]      45.8061  -5.1656e-06
selparm[2]      2.49993  5.22324e-08
selparm[3]      4.63698  8.80262e-05
selparm[7]      3.55191 -2.25133e-05
selparm[8]     0.955332  2.04995e-05
selparm[11]      37.4551 -0.000585327
selparm[12]     -9.30925  1.09914e-05
selparm[13]      2.90638  0.000485286
selparm[14]      4.51658 -6.76715e-05
selparm[16]    -0.614281 -0.000126915
selparm[21]      43.2065  -0.00174459
selparm[22]      2.50295 -5.41843e-08
selparm[23]      3.72893   0.00273509
selparm[27]      42.7767 -0.000908017
selparm[28]      2.50691  3.25956e-08
selparm[29]      3.58755    0.0015764
selparm[33]      17.5003  -0.00140849
selparm[34]      -1.7446  7.53233e-05
selparm[35]     -2.48616  6.80899e-07
selparm[39]      23.9094    0.0028059
selparm[40]     0.563213  8.86308e-05
selparm[41]       7.2008  4.73422e-06
selparm[44]     0.124088 -0.000145559
selparm[45]    0.0223155  3.37131e-06
selparm[49]     -1.87994 -3.66757e-05
selparm[51]     0.449632  2.22685e-05
selparm[53]     0.493265  7.42411e-05
selparm[54]   -0.0163988   0.00027438
selparm[58]     -2.75945  0.000875023
selparm[60]   -0.0378033   -0.0013659
selparm[67]      39.3021  0.000888082
selparm[68]      3.46297 -0.000935624
selparm[69]      26.7803  0.000118849
selparm[70]      25.7623 -6.91814e-05
selparm[71]     0.998554  5.11838e-05
selparm[72]      1.79122 -4.01364e-05
selparm[73]      1.71493  1.47109e-05
selparm[74]     0.673116 -0.000181979
selparm[75]    0.0851329 -0.000218308
selparm[76]      38.7217  -0.00270192
selparm[77]      38.0921  -0.00319283
selparm[78]      37.5949    2.609e-05
selparm[79]      3.35403   0.00201574
selparm[80]      3.07871   0.00303262
selparm[81]      2.83281  7.13912e-05
selparm[82]      4.30674 -0.000625808
selparm[83]      3.15164 -0.000362191
selparm[84]     -1.63262  1.88257e-05
selparm[85]     -2.32627 -0.000140804
selparm[86]    -0.454742  7.33063e-05
selparm[87]      1.74863 -9.06506e-05
selparm[89]      1.65362 -0.000181538
selparm[90]       1.8541  7.41316e-06
selparm[91]      37.9869  2.66327e-05
selparm[92]      3.86062   0.00038956
