ParName   Value   Gradient
MGparm[1]     0.144401  0.000579335
MGparm[2]      20.8325 -0.000184108
MGparm[3]      50.3914 -0.000767374
MGparm[4]     0.171903 -0.000956577
MGparm[5]      0.10617  8.79657e-05
MGparm[6]    0.0440323  5.30267e-05
MGparm[13]     0.154867   0.00025704
MGparm[14]      21.1828  0.000424908
MGparm[15]      44.1793  -0.00012417
MGparm[16]     0.236074  4.04531e-05
MGparm[17]    0.0861627  0.000197343
MGparm[18]    0.0542116  0.000330814
SR_parm[1]      10.8133 -0.000151164
recdev_early(1900) -0.000597888  1.64863e-05
recdev_early(1901) -0.000687046  1.80483e-05
recdev_early(1902) -0.000788585   1.9652e-05
recdev_early(1903) -0.000903892  2.12756e-05
recdev_early(1904)  -0.00103438  2.28542e-05
recdev_early(1905)  -0.00118142  2.44145e-05
recdev_early(1906)  -0.00134622  2.58489e-05
recdev_early(1907)  -0.00152963  2.71224e-05
recdev_early(1908)  -0.00173198  2.82333e-05
recdev_early(1909)  -0.00195312  2.91538e-05
recdev_early(1910)  -0.00219321  2.98371e-05
recdev_early(1911)  -0.00245419  3.02074e-05
recdev_early(1912)   -0.0027403  3.02793e-05
recdev_early(1913)  -0.00305678  3.00596e-05
recdev_early(1914)  -0.00340836  2.94743e-05
recdev_early(1915)  -0.00380034  2.85561e-05
recdev_early(1916)    -0.004237  2.60414e-05
recdev_early(1917)  -0.00472378  2.45573e-05
recdev_early(1918)  -0.00526623  2.30589e-05
recdev_early(1919)  -0.00587076  2.17653e-05
recdev_early(1920)  -0.00654478  2.08608e-05
recdev_early(1921)  -0.00729618  2.04797e-05
recdev_early(1922)  -0.00813399  2.05409e-05
recdev_early(1923)    -0.009068  2.07872e-05
recdev_early(1924)   -0.0101091  2.04506e-05
recdev_early(1925)   -0.0112698  1.85075e-05
recdev_early(1926)   -0.0125634  1.36296e-05
recdev_early(1927)   -0.0140045  4.71136e-06
recdev_early(1928)   -0.0156099 -8.19485e-06
recdev_early(1929)   -0.0173973 -2.27192e-05
recdev_early(1930)   -0.0193867 -3.30403e-05
recdev_early(1931)   -0.0215999 -2.97533e-05
recdev_early(1932)   -0.0240612 -2.13364e-06
recdev_early(1933)   -0.0267967  5.58184e-05
recdev_early(1934)   -0.0298379  0.000136033
recdev_early(1935)    -0.033223  0.000208007
recdev_early(1936)   -0.0370009   0.00022195
recdev_early(1937)   -0.0412349  0.000135989
recdev_early(1938)   -0.0460048 -3.03847e-05
recdev_early(1939)   -0.0514016 -0.000154925
recdev_early(1940)   -0.0574581 -8.46189e-05
recdev_early(1941)   -0.0642357  0.000128915
recdev_early(1942)   -0.0718083  0.000143846
recdev_early(1943)    -0.080051  -0.00015486
recdev_early(1944)   -0.0887353 -0.000225811
recdev_early(1945)   -0.0978126  0.000116163
recdev_early(1946)    -0.107108  0.000160207
