"Year","Total Biomass (mt)","Spawning Biomass","Total Biomass XX+ (mt)","Depletion (%)","Age-0 Recruits","Total Catch (mt)","(1-SPR)/(1-SPR_50%)","Relative Exploitation Rate"
1889,"9,957","2,278","9,796","100.0","217",0.04,"0.000",4.08336600026134e-06
1890,"9,957","2,278","9,796","100.0","217",0.13,"0.001",1.32709936911738e-05
1891,"9,956","2,278","9,796","100.0","217",0.23,"0.002",2.34797380069582e-05
1892,"9,956","2,278","9,795","100.0","217",3.89,"0.027",0.00039712274870195
1893,"9,952","2,277","9,792","100.0","216",3.87,"0.027",0.000395234311648893
1894,"9,948","2,276","9,788","99.9","216",3.96,"0.028",0.000404579513155986
1895,"9,944","2,275","9,784","99.9","216",1.4,"0.010",0.000143088127978022
1896,"9,942","2,275","9,783","99.9","216",0.79,"0.006",8.07523254625371e-05
1897,"9,940","2,275","9,782","99.9","216",0.86,"0.006",8.7920895729907e-05
1898,"9,938","2,275","9,780","99.8","216",0.86,"0.006",8.79365384497402e-05
1899,"9,936","2,274","9,778","99.8","216",1.05,"0.008",0.000107385680272944
1900,"9,934","2,274","9,776","99.8","216",1.19,"0.009",0.000121732903687791
1901,"9,931","2,274","9,773","99.8","215",1.37,"0.010",0.000140185003274394
1902,"9,928","2,273","9,770","99.8","215",1.53,"0.011",0.00015660633058061
1903,"9,924","2,273","9,766","99.8","215",1.7,"0.012",0.000174068324889313
1904,"9,920","2,272","9,762","99.7","215",1.94,"0.014",0.000198720200932756
1905,"9,916","2,272","9,758","99.7","215",2.04,"0.015",0.000209054091721458
1906,"9,911","2,271","9,754","99.7","215",2.2,"0.016",0.000225554505246193
1907,"9,907","2,270","9,749","99.6","215",2.37,"0.017",0.000243103851503551
1908,"9,901","2,269","9,744","99.6","214",3.5,"0.025",0.000359203512394574
1909,"9,895","2,267","9,737","99.5","214",2.71,"0.020",0.000278308663820593
1910,"9,889","2,266","9,732","99.5","214",2.89,"0.021",0.000296968557297977
1911,"9,883","2,265","9,726","99.4","214",3.04,"0.022",0.000312575509091937
1912,"9,876","2,264","9,719","99.4","214",3.22,"0.024",0.000331297193130831
1913,"9,870","2,262","9,713","99.3","214",3.38,"0.025",0.000347993324293743
1914,"9,863","2,261","9,706","99.2","213",3.56,"0.026",0.00036678154347031
1915,"9,856","2,259","9,699","99.2","213",4.33,"0.032",0.000446437316798312
1916,"9,848","2,257","9,691","99.1","213",3.89,"0.028",0.000401395908444586
1917,"9,840","2,256","9,684","99.0","212",5.41,"0.040",0.00055866902526196
1918,"9,831","2,254","9,675","98.9","211",22.79,"0.155",0.00235561398939095
1919,"9,805","2,247","9,649","98.6","210",9.77,"0.069",0.00101256219691796
1920,"9,792","2,244","9,636","98.5","208",8.96,"0.064",0.000929863779107538
1921,"9,779","2,241","9,624","98.4","207",8.63,"0.062",0.000896740768142115
1922,"9,767","2,239","9,612","98.3","204",6.45,"0.047",0.000671032016029862
1923,"9,757","2,236","9,603","98.2","202",7.31,"0.053",0.000761254539149415
1924,"9,746","2,234","9,592","98.1","200",12.11,"0.086",0.00126248146935746
1925,"9,730","2,230","9,577","97.9","197",15.34,"0.108",0.00160173747794217
1926,"9,710","2,226","9,559","97.7","194",22.35,"0.154",0.00233818406268635
1927,"9,683","2,220","9,533","97.4","192",28.71,"0.195",0.0030115837405947
1928,"9,650","2,212","9,501","97.1","190",28.25,"0.193",0.00297331176410534
1929,"9,616","2,205","9,469","96.8","189",24.67,"0.172",0.00260525846128176
1930,"9,585","2,199","9,440","96.5","188",27.75,"0.193",0.00293949408923351
1931,"9,551","2,191","9,408","96.2","188",19.28,"0.139",0.00204938072136501
1932,"9,524","2,186","9,382","96.0","188",17.95,"0.130",0.00191314431396457
1933,"9,498","2,181","9,357","95.7","189",17.71,"0.129",0.00189262783520138
1934,"9,470","2,176","9,331","95.5","189",21.89,"0.158",0.00234587574896022
1935,"9,438","2,170","9,300","95.3","188",21.64,"0.156",0.00232693176197338
1936,"9,405","2,164","9,267","95.0","187",29.21,"0.207",0.00315191904499335
1937,"9,364","2,156","9,226","94.6","185",26.23,"0.189",0.00284291666124746
1938,"9,325","2,148","9,188","94.3","183",27.89,"0.200",0.00303560660976401
1939,"9,284","2,140","9,147","93.9","181",21.69,"0.159",0.00237137815445773
1940,"9,249","2,132","9,111","93.6","181",30.28,"0.218",0.00332338221090526
1941,"9,204","2,123","9,067","93.2","182",41.92,"0.290",0.00462329824685236
1942,"9,147","2,110","9,012","92.6","184",43.9,"0.296",0.00487155301559119
1943,"9,089","2,097","8,954","92.1","189",80.98,"0.483",0.00904408348522211
1944,"8,994","2,075","8,860","91.1","197",86.5,"0.550",0.00976310089628652
1945,"8,894","2,051","8,761","90.0","210",130.32,"0.756",0.014875710425896
1946,"8,753","2,017","8,618","88.5","228",119.04,"0.708",0.0138122444433099
1947,"8,624","1,986","8,488","87.2","250",53.24,"0.386",0.00627212591375238
1948,"8,564","1,971","8,424","86.5","268",61,"0.432",0.00724109523346003
1949,"8,498","1,953","8,353","85.8","267",45.62,"0.343",0.00546137353185183
1950,"8,451","1,940","8,299","85.2","244",50.99,"0.380",0.00614405452170602
1951,"8,403","1,926","8,242","84.5","211",64.12,"0.458",0.00777950466928006
1952,"8,347","1,908","8,176","83.8","182",54.99,"0.407",0.00672555245172621
1953,"8,304","1,893","8,125","83.1","161",40.18,"0.311",0.00494496906625249
1954,"8,280","1,882","8,097","82.6","148",51,"0.386",0.00629828686597246
1955,"8,248","1,868","8,069","82.0","144",49.79,"0.381",0.0061703380115872
1956,"8,219","1,856","8,053","81.5","148",53.62,"0.404",0.00665844605628014
1957,"8,187","1,844","8,039","81.0","159",67.74,"0.494",0.0084262954154186
1958,"8,142","1,830","8,011","80.3","175",68,"0.480",0.00848861464560658
1959,"8,096","1,817","7,977","79.8","190",64.83,"0.476",0.00812726828259275
1960,"8,052","1,807","7,940","79.3","191",60.7,"0.461",0.00764522142173409
1961,"8,012","1,799","7,900","79.0","170",49.23,"0.390",0.00623137738375817
1962,"7,982","1,794","7,867","78.8","144",57.8,"0.447",0.00734693151210782
1963,"7,942","1,788","7,822","78.5","127",44.7,"0.345",0.00571473865617984
1964,"7,913","1,786","7,788","78.4","126",31.7,"0.255",0.00407062077608889
1965,"7,895","1,786","7,766","78.4","144",111.04,"0.742",0.0142976891153949
1966,"7,797","1,767","7,670","77.6","175",45.94,"0.345",0.00598969470028058
1967,"7,761","1,763","7,641","77.4","199",55.86,"0.419",0.00731013093064798
1968,"7,714","1,755","7,604","77.1","241",53.96,"0.398",0.00709646110689538
1969,"7,667","1,747","7,562","76.7","299",127.17,"0.822",0.0168165348708048
1970,"7,549","1,721","7,440","75.6","364",84.84,"0.541",0.0114030878658726
1971,"7,477","1,705","7,353","74.8","478",109.21,"0.667",0.0148524411804706
1972,"7,383","1,682","7,239","73.8","280",134.23,"0.713",0.0185425651538468
1973,"7,273","1,653","7,104","72.5","206",144.37,"0.801",0.0203232690661742
1974,"7,163","1,621","6,967","71.1","194",158.19,"0.854",0.0227060684440336
1975,"7,049","1,585","6,825","69.6","265",155.01396,"0.815",0.0227110375958356
1976,"6,947","1,550","6,703","68.0","244",180.29959,"0.957",0.0268966572286982
1977,"6,828","1,510","6,580","66.3","226",181.47005,"1.014",0.027577358519239
1978,"6,717","1,470","6,486","64.5","183",298.91527,"1.226",0.0460833852368032
1979,"6,499","1,405","6,326","61.7","206",304.85016,"1.396",0.0481914821975368
1980,"6,282","1,341","6,123","58.9","235",253.63108,"1.381",0.0414238317902016
1981,"6,122","1,293","5,958","56.7","303",340.86487,"1.480",0.0572143636449088
1982,"5,882","1,229","5,708","54.0","387",551.68744,"1.689",0.0966477244259604
1983,"5,441","1,123","5,277","49.3","275",511.80782,"1.765",0.0969972292344196
1984,"5,045","1,027","4,883","45.1","305",329.7971,"1.637",0.0675433106343761
1985,"4,835","974","4,668","42.8","211",447.3298,"1.775",0.0958306483401601
1986,"4,516","898","4,330","39.4","157",297.1452,"1.647",0.0686320486702975
1987,"4,351","855","4,145","37.5","142",342.3466,"1.709",0.0825857322473288
1988,"4,146","804","3,928","35.3","123",321.5119,"1.706",0.0818457350276852
1989,"3,964","759","3,755","33.3","106",385.8402,"1.796",0.102762664018944
1990,"3,720","699","3,550","30.7","87",307.6345,"1.723",0.0866645143824141
1991,"3,551","659","3,401","28.9","74",440.8675,"1.839",0.129644757763453
1992,"3,249","593","3,135","26.0","89",412.0234,"1.860",0.131414513972524
1993,"2,970","534","2,875","23.4","222",388.978,"1.846",0.135313921702728
1994,"2,705","477","2,620","20.9","154",266.5787,"1.796",0.101747711924861
1995,"2,555","448","2,478","19.7","71",270.5642,"1.816",0.109193439616634
1996,"2,396","420","2,323","18.4","68",291.0002,"1.847",0.125289899531347
1997,"2,213","387","2,138","17.0","79",305.0402,"1.873",0.142657875734708
1998,"2,010","351","1,928","15.4","129",154.235,"1.666",0.0799849193668416
1999,"1,950","342","1,854","15.0","245",194.8029,"1.760",0.105058536364382
2000,"1,846","323","1,741","14.2","119",62.6975,"1.247",0.0360095776660498
2001,"1,871","330","1,791","14.5","158",67.1077,"1.217",0.0374730222405626
2002,"1,895","335","1,823","14.7","429",14.44992,"0.452",0.00792516844504043
2003,"1,970","351","1,885","15.4","207",12.7266,"0.433",0.0067511609476006
2004,"2,051","367","1,945","16.1","95",10.2049,"0.316",0.00524579933554271
2005,"2,142","384","2,009","16.9","123",10.76208,"0.319",0.00535776853237961
2006,"2,237","402","2,084","17.6","158",7.54345,"0.224",0.00361910551104642
2007,"2,341","419","2,199","18.4","200",12.83252,"0.381",0.00583657169886839
2008,"2,444","437","2,278","19.2","307",9.29372,"0.255",0.00407989530850583
2009,"2,553","455","2,372","20.0","226",11.69241,"0.330",0.00492875018916345
2010,"2,666","473","2,548","20.8","240",6.71896,"0.175",0.00263745650172815
2011,"2,788","494","2,680","21.7","227",8.3416,"0.213",0.00311275915559654
2012,"2,913","515","2,782","22.6","115",11.15967,"0.265",0.00401162326724025
2013,"3,040","538","2,887","23.6","117",10.39857,"0.230",0.0036023167467715
2014,"3,171","563","3,001","24.7","121",8.81489,"0.188",0.00293767975391834
2015,"3,305","590","3,128","25.9","141",12.01785,"0.247",0.0038414464578532
2016,"3,436","617","3,287","27.1","174",9.58552,"0.188",0.00291602249946003
2017,"3,569","646","3,432","28.4","176",74.6942,"0.879",0.0217615713832053
2018,"3,637","663","3,521","29.1","177",76.7856,"0.886",0.0218067806814761
2019,"3,700","680","3,606","29.8","179",78.7874,"0.892",0.0218459448218494
2020,"3,758","696","3,658","30.6","180",80.653,"0.898",0.0220504969037497
2021,"3,811","713","3,702","31.3","181",82.3371,"0.904",0.0222426298770588
2022,"3,860","730","3,739","32.0","182",83.8046,"0.909",0.0224122613479246
2023,"3,904","746","3,775","32.7","183",85.0378,"0.914",0.0225261518329461
2024,"3,945","761","3,815","33.4","184",86.0384,"0.919",0.0225544341625816
2025,"3,982","774","3,851","34.0","185",86.826,"0.922",0.0225441270401778
2026,"4,017","786","3,885","34.5","185",87.4322,"0.925",0.0225029276491042
2027,"4,050","797","3,917","35.0","186",87.8947,"0.928",0.02243848828482
2028,"4,080","806","3,947","35.4","186",88.2508,"0.930",0.0223583330588709
